SCHEDULED CLASSES (EXACT MATCHES):
Scheduled: IT 326 - IOT Applications | Section 2A | Room [11, 13] | Emp 1 | Day Monday | Duration 120
Scheduled: FN 303 - Finance | Section 2C | Room 155 | Emp 10 | Day Friday | Duration 90
Scheduled: CH 302 - Chemistry | Section 2D | Room 192 | Emp 11 | Day Monday | Duration 120
Scheduled: CH 302 - Chemistry | Section 2D | Room 156 | Emp 11 | Day Thursday | Duration 60
Scheduled: BI 301 - Biology | Section 2D | Room 196 | Emp 12 | Day Friday | Duration 90
Scheduled: BI 301 - Biology | Section 2D | Room 157 | Emp 12 | Day Monday | Duration 90
Scheduled: PH 200 - Physics Advanced | Section 2D | Room 158 | Emp 13 | Day Monday | Duration 150
Scheduled: ES 201 - Environmental Science | Section 2D | Room 197 | Emp 14 | Day Monday | Duration 60
Scheduled: ES 201 - Environmental Science | Section 2D | Room 159 | Emp 14 | Day Monday | Duration 60
Scheduled: MA 202 - Mathematics Advanced | Section 2D | Room 160 | Emp 1 | Day Monday | Duration 90
Scheduled: GE 203 - Geology | Section 2D | Room 264 | Emp 2 | Day Monday | Duration 60
Scheduled: GE 203 - Geology | Section 2D | Room 161 | Emp 2 | Day Monday | Duration 90
Scheduled: AS 204 - Astronomy | Section 2D | Room 165 | Emp 3 | Day Wednesday | Duration 120
Scheduled: MB 205 - Microbiology | Section 2D | Room 170 | Emp 4 | Day Monday | Duration 90
Scheduled: MB 205 - Microbiology | Section 2D | Room 166 | Emp 4 | Day Monday | Duration 60
Scheduled: AR 206 - Art Studio | Section 2E | Room 167 | Emp 5 | Day Friday | Duration 120
Scheduled: AR 206 - Art Studio | Section 2E | Room 168 | Emp 5 | Day Monday | Duration 60
Scheduled: LI 207 - Literature | Section 2E | Room 169 | Emp 6 | Day Monday | Duration 90
Scheduled: MU 208 - Music | Section 2E | Room 171 | Emp 7 | Day Monday | Duration 60
Scheduled: MU 208 - Music | Section 2E | Room 172 | Emp 7 | Day Monday | Duration 90
Scheduled: HI 209 - History | Section 2E | Room 173 | Emp 8 | Day Tuesday | Duration 120
Scheduled: DR 210 - Drama | Section 2E | Room 174 | Emp 9 | Day Monday | Duration 90
Scheduled: DR 210 - Drama | Section 2E | Room 175 | Emp 9 | Day Monday | Duration 60
Scheduled: PH 211 - Philosophy | Section 2E | Room 176 | Emp 10 | Day Monday | Duration 60
Scheduled: PH 212 - Photography | Section 2E | Room 177 | Emp 11 | Day Monday | Duration 90
Scheduled: PH 212 - Photography | Section 2E | Room 178 | Emp 11 | Day Monday | Duration 60
Scheduled: SO 213 - Sociology | Section 2E | Room 179 | Emp 12 | Day Monday | Duration 120
Scheduled: IT 402 - Advanced Programming | Section 3A | Room 115 | Emp 13 | Day Friday | Duration 150
Scheduled: IT 402 - Advanced Programming | Section 3A | Room 180 | Emp 13 | Day Wednesday | Duration 90
Scheduled: DS 401 - Data Structures | Section 3A | Room 116 | Emp 14 | Day Monday | Duration 120
Scheduled: DS 401 - Data Structures | Section 3A | Room 181 | Emp 14 | Day Friday | Duration 60
Scheduled: AL 400 - Algorithms | Section 3A | Room 117 | Emp 1 | Day Thursday | Duration 90
Scheduled: AL 400 - Algorithms | Section 3A | Room 182 | Emp 1 | Day Tuesday | Duration 90
Scheduled: CA 403 - Computer Architecture | Section 3A | Room 300 | Emp 2 | Day Wednesday | Duration 120
Scheduled: OS 404 - Operating Systems | Section 3A | Room 118 | Emp 3 | Day Friday | Duration 60
Scheduled: OS 404 - Operating Systems | Section 3A | Room 199 | Emp 3 | Day Tuesday | Duration 90
Scheduled: CN 405 - Computer Networks | Section 3A | Room 77 | Emp 4 | Day Thursday | Duration 90
Scheduled: CN 405 - Computer Networks | Section 3A | Room 200 | Emp 4 | Day Wednesday | Duration 60
Scheduled: DM 406 - Discrete Mathematics | Section 3A | Room 201 | Emp 5 | Day Friday | Duration 120
Scheduled: ST 407 - Software Testing | Section 3A | Room 78 | Emp 6 | Day Tuesday | Duration 60
Scheduled: ST 407 - Software Testing | Section 3A | Room 202 | Emp 6 | Day Friday | Duration 60
Scheduled: ACAD 408 - Advanced CAD | Section 3B | Room 184 | Emp 7 | Day Thursday | Duration 120
Scheduled: ACAD 408 - Advanced CAD | Section 3B | Room 203 | Emp 7 | Day Wednesday | Duration 60
Scheduled: ROB 409 - Robotics | Section 3B | Room 185 | Emp 8 | Day Friday | Duration 90
Scheduled: ROB 409 - Robotics | Section 3B | Room 205 | Emp 8 | Day Monday | Duration 90
Scheduled: AE 410 - Advanced Electronics | Section 3B | Room 74 | Emp 9 | Day Monday | Duration 150
Scheduled: CS 411 - Control Systems | Section 3B | Room 186 | Emp 10 | Day Monday | Duration 60
Scheduled: CS 411 - Control Systems | Section 3B | Room 206 | Emp 10 | Day Monday | Duration 60
Scheduled: FM 412 - Fluid Mechanics | Section 3B | Room 187 | Emp 11 | Day Monday | Duration 90
Scheduled: FM 412 - Fluid Mechanics | Section 3B | Room 207 | Emp 11 | Day Monday | Duration 90
Scheduled: AT 413 - Advanced Thermodynamics | Section 3B | Room 208 | Emp 12 | Day Monday | Duration 120
Scheduled: MT 414 - Manufacturing | Section 3B | Room 188 | Emp 13 | Day Monday | Duration 60
Scheduled: MT 414 - Manufacturing | Section 3B | Room 209 | Emp 13 | Day Monday | Duration 90
Scheduled: EM 415 - Engineering Management | Section 3B | Room 210 | Emp 14 | Day Monday | Duration 90
Scheduled: AXL 416 - Advanced Excel | Section 3C | Room 189 | Emp 1 | Day Monday | Duration 90
Scheduled: AXL 416 - Advanced Excel | Section 3C | Room 211 | Emp 1 | Day Monday | Duration 60
Scheduled: BS 417 - Business Statistics | Section 3C | Room 212 | Emp 2 | Day Monday | Duration 120
Scheduled: BA 418 - Business Analytics | Section 3C | Room 193 | Emp 3 | Day Monday | Duration 60
Scheduled: BA 418 - Business Analytics | Section 3C | Room 213 | Emp 3 | Day Monday | Duration 90
Scheduled: AAC 419 - Advanced Accounting | Section 3C | Room 47 | Emp 4 | Day Monday | Duration 90
Scheduled: AAC 419 - Advanced Accounting | Section 3C | Room 410 | Emp 4 | Day Monday | Duration 60
Scheduled: IB 420 - International Business | Section 3C | Room 215 | Emp 5 | Day Monday | Duration 120
Scheduled: DMK 421 - Digital Marketing | Section 3C | Room 30 | Emp 6 | Day Monday | Duration 60
Scheduled: DMK 421 - Digital Marketing | Section 3C | Room 216 | Emp 6 | Day Monday | Duration 60
Scheduled: BS 422 - Business Strategy | Section 3C | Room 217 | Emp 7 | Day Monday | Duration 90
Scheduled: FM 423 - Financial Modeling | Section 3C | Room 410 | Emp 8 | Day Monday | Duration 60
Scheduled: FM 423 - Financial Modeling | Section 3C | Room 218 | Emp 8 | Day Monday | Duration 90
Scheduled: ACH 424 - Advanced Chemistry | Section 3D | Room 9 | Emp 9 | Day Monday | Duration 120
Scheduled: ACH 424 - Advanced Chemistry | Section 3D | Room 219 | Emp 9 | Day Monday | Duration 60
Scheduled: MB 425 - Molecular Biology | Section 3D | Room 10 | Emp 10 | Day Thursday | Duration 90
Scheduled: MB 425 - Molecular Biology | Section 3D | Room 132 | Emp 10 | Day Monday | Duration 90
Scheduled: QP 426 - Quantum Physics | Section 3D | Room 221 | Emp 11 | Day Wednesday | Duration 150
Scheduled: CS 427 - Climate Science | Section 3D | Room 267 | Emp 12 | Day Monday | Duration 60
Scheduled: CS 427 - Climate Science | Section 3D | Room 222 | Emp 12 | Day Tuesday | Duration 60
Scheduled: AC 428 - Advanced Calculus | Section 3D | Room 223 | Emp 13 | Day Monday | Duration 90
Scheduled: SE 429 - Seismology | Section 3D | Room 12 | Emp 14 | Day Monday | Duration 60
Scheduled: SE 429 - Seismology | Section 3D | Room 224 | Emp 14 | Day Monday | Duration 90
Scheduled: AS 430 - Astrophysics | Section 3D | Room 225 | Emp 1 | Day Monday | Duration 120
Scheduled: GN 431 - Genetics | Section 3D | Room 13 | Emp 2 | Day Monday | Duration 90
Scheduled: GN 431 - Genetics | Section 3D | Room 226 | Emp 2 | Day Monday | Duration 60
Scheduled: AR 432 - Art Criticism | Section 3E | Room 227 | Emp 3 | Day Thursday | Duration 120
Scheduled: AR 432 - Art Criticism | Section 3E | Room 228 | Emp 3 | Day Monday | Duration 60
Scheduled: CW 433 - Creative Writing | Section 3E | Room 229 | Emp 4 | Day Monday | Duration 90
Scheduled: MU 434 - Music Composition | Section 3E | Room 230 | Emp 5 | Day Monday | Duration 60
Scheduled: MU 434 - Music Composition | Section 3E | Room 233 | Emp 5 | Day Monday | Duration 90
Scheduled: WH 435 - World History | Section 3E | Room 234 | Emp 6 | Day Monday | Duration 120
Scheduled: DR 436 - Theater Production | Section 3E | Room 235 | Emp 7 | Day Wednesday | Duration 90
Scheduled: DR 436 - Theater Production | Section 3E | Room 236 | Emp 7 | Day Monday | Duration 60
Scheduled: ETH 437 - Ethics | Section 3E | Room 237 | Emp 8 | Day Monday | Duration 60
Scheduled: DP 438 - Photography Techniques | Section 3E | Room 238 | Emp 9 | Day Monday | Duration 90
Scheduled: DP 438 - Photography Techniques | Section 3E | Room 239 | Emp 9 | Day Monday | Duration 60
Scheduled: CA 439 - Cultural Anthropology | Section 3E | Room 240 | Emp 10 | Day Monday | Duration 120

REQUESTED VS ACTUAL:
REQUESTED: IT 326 - IOT Applications | Section 2A | Room [11, 13] | Emp 1 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: IT 326 - IOT Applications | Section 2A | Room [11, 13] | Emp 1 | Day Monday | Duration 120
REQUESTED: IT 326 - IOT Applications | Section 2A | Room 132 | Emp 1 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: DB 325 - Database Management | Section 2A | Room 14 | Emp 2 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: DB 325 - Database Management | Section 2A | Room 14 | Emp 2 | Day Monday | Duration 90
REQUESTED: DB 325 - Database Management | Section 2A | Room 133 | Emp 2 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: DB 325 - Database Management | Section 2A | Room 133 | Emp 2 | Day Monday | Duration 60
REQUESTED: MA 324 - Mathematics | Section 2A | Room 134 | Emp 3 | Day ['Monday'] | Duration 2:30
  -> SCHEDULED: MA 324 - Mathematics | Section 2A | Room 134 | Emp 3 | Day Monday | Duration 150
REQUESTED: IT 323 - Web Development | Section 2A | Room 15 | Emp 4 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: IT 323 - Web Development | Section 2A | Room 15 | Emp 4 | Day Monday | Duration 60
REQUESTED: IT 323 - Web Development | Section 2A | Room 135 | Emp 4 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: IT 323 - Web Development | Section 2A | Room 135 | Emp 4 | Day Monday | Duration 60
REQUESTED: EN 322 - English | Section 2A | Room 136 | Emp 5 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: EN 322 - English | Section 2A | Room 136 | Emp 5 | Day Monday | Duration 90
REQUESTED: CN 321 - Networking | Section 2A | Room [16, 17] | Emp 6 | Day ['Monday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: CN 321 - Networking | Section 2A | Room 137 | Emp 6 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: CN 321 - Networking | Section 2A | Room 137 | Emp 6 | Day Monday | Duration 90
REQUESTED: PH 320 - Physics | Section 2A | Room 138 | Emp 7 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: SE 319 - Software Engineering | Section 2A | Room 31 | Emp 8 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: SE 319 - Software Engineering | Section 2A | Room 31 | Emp 8 | Day Monday | Duration 90
REQUESTED: SE 319 - Software Engineering | Section 2A | Room 139 | Emp 8 | Day ['Monday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: CAD 318 - Computer-Aided Design | Section 2B | Room 32 | Emp 9 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: CAD 318 - Computer-Aided Design | Section 2B | Room 140 | Emp 9 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: CAD 318 - Computer-Aided Design | Section 2B | Room 140 | Emp 9 | Day Monday | Duration 60
REQUESTED: MA 317 - Engineering Mathematics | Section 2B | Room 141 | Emp 10 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MA 317 - Engineering Mathematics | Section 2B | Room 141 | Emp 10 | Day Monday | Duration 90
REQUESTED: EL 316 - Electronics | Section 2B | Room 73 | Emp 11 | Day ['Monday'] | Duration 2:30
  -> UNSCHEDULED
REQUESTED: EL 316 - Electronics | Section 2B | Room 142 | Emp 11 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: EL 316 - Electronics | Section 2B | Room 142 | Emp 11 | Day Monday | Duration 60
REQUESTED: EN 315 - Engineering Drawing | Section 2B | Room 143 | Emp 12 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: EN 315 - Engineering Drawing | Section 2B | Room 143 | Emp 12 | Day Monday | Duration 60
REQUESTED: ME 314 - Mechanics | Section 2B | Room 231 | Emp 13 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: ME 314 - Mechanics | Section 2B | Room 231 | Emp 13 | Day Monday | Duration 90
REQUESTED: ME 314 - Mechanics | Section 2B | Room 144 | Emp 13 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: ME 314 - Mechanics | Section 2B | Room 144 | Emp 13 | Day Monday | Duration 90
REQUESTED: TH 313 - Thermodynamics | Section 2B | Room 145 | Emp 14 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: TH 313 - Thermodynamics | Section 2B | Room 145 | Emp 14 | Day Monday | Duration 120
REQUESTED: MS 312 - Materials Science | Section 2B | Room 232 | Emp 1 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MS 312 - Materials Science | Section 2B | Room 232 | Emp 1 | Day Monday | Duration 60
REQUESTED: MS 312 - Materials Science | Section 2B | Room 146 | Emp 1 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MS 312 - Materials Science | Section 2B | Room 146 | Emp 1 | Day Monday | Duration 60
REQUESTED: EN 311 - Engineering Ethics | Section 2B | Room 147 | Emp 2 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: EN 311 - Engineering Ethics | Section 2B | Room 147 | Emp 2 | Day Monday | Duration 90
REQUESTED: CA 310 - Computer Applications | Section 2C | Room 33 | Emp 3 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: CA 310 - Computer Applications | Section 2C | Room 33 | Emp 3 | Day Monday | Duration 90
REQUESTED: CA 310 - Computer Applications | Section 2C | Room 148 | Emp 3 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: CA 310 - Computer Applications | Section 2C | Room 148 | Emp 3 | Day Monday | Duration 60
REQUESTED: BM 309 - Business Mathematics | Section 2C | Room 149 | Emp 4 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: BM 309 - Business Mathematics | Section 2C | Room 149 | Emp 4 | Day Monday | Duration 120
REQUESTED: BC 308 - Business Communication | Section 2C | Room 150 | Emp 5 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: BC 308 - Business Communication | Section 2C | Room 150 | Emp 5 | Day Monday | Duration 60
REQUESTED: AC 307 - Accounting | Section 2C | Room 34 | Emp 6 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: AC 307 - Accounting | Section 2C | Room 151 | Emp 6 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: AC 307 - Accounting | Section 2C | Room 151 | Emp 6 | Day Monday | Duration 90
REQUESTED: EC 306 - Economics | Section 2C | Room 152 | Emp 7 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: EC 306 - Economics | Section 2C | Room 152 | Emp 7 | Day Monday | Duration 120
REQUESTED: MK 305 - Marketing | Section 2C | Room 35 | Emp 8 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MK 305 - Marketing | Section 2C | Room 35 | Emp 8 | Day Monday | Duration 60
REQUESTED: MK 305 - Marketing | Section 2C | Room 153 | Emp 8 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MK 305 - Marketing | Section 2C | Room 153 | Emp 8 | Day Monday | Duration 60
REQUESTED: BL 304 - Business Law | Section 2C | Room 154 | Emp 9 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: BL 304 - Business Law | Section 2C | Room 154 | Emp 9 | Day Monday | Duration 90
REQUESTED: FN 303 - Finance | Section 2C | Room 183 | Emp 10 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: FN 303 - Finance | Section 2C | Room 183 | Emp 10 | Day Monday | Duration 60
REQUESTED: FN 303 - Finance | Section 2C | Room 155 | Emp 10 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: CH 302 - Chemistry | Section 2D | Room 192 | Emp 11 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: CH 302 - Chemistry | Section 2D | Room 192 | Emp 11 | Day Monday | Duration 120
REQUESTED: CH 302 - Chemistry | Section 2D | Room 156 | Emp 11 | Day ['Monday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: BI 301 - Biology | Section 2D | Room 196 | Emp 12 | Day ['Monday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: BI 301 - Biology | Section 2D | Room 157 | Emp 12 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: BI 301 - Biology | Section 2D | Room 157 | Emp 12 | Day Monday | Duration 90
REQUESTED: PH 200 - Physics Advanced | Section 2D | Room 158 | Emp 13 | Day ['Monday'] | Duration 2:30
  -> SCHEDULED: PH 200 - Physics Advanced | Section 2D | Room 158 | Emp 13 | Day Monday | Duration 150
REQUESTED: ES 201 - Environmental Science | Section 2D | Room 197 | Emp 14 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: ES 201 - Environmental Science | Section 2D | Room 197 | Emp 14 | Day Monday | Duration 60
REQUESTED: ES 201 - Environmental Science | Section 2D | Room 159 | Emp 14 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: ES 201 - Environmental Science | Section 2D | Room 159 | Emp 14 | Day Monday | Duration 60
REQUESTED: MA 202 - Mathematics Advanced | Section 2D | Room 160 | Emp 1 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MA 202 - Mathematics Advanced | Section 2D | Room 160 | Emp 1 | Day Monday | Duration 90
REQUESTED: GE 203 - Geology | Section 2D | Room 264 | Emp 2 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: GE 203 - Geology | Section 2D | Room 264 | Emp 2 | Day Monday | Duration 60
REQUESTED: GE 203 - Geology | Section 2D | Room 161 | Emp 2 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: GE 203 - Geology | Section 2D | Room 161 | Emp 2 | Day Monday | Duration 90
REQUESTED: AS 204 - Astronomy | Section 2D | Room 165 | Emp 3 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: MB 205 - Microbiology | Section 2D | Room 170 | Emp 4 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MB 205 - Microbiology | Section 2D | Room 170 | Emp 4 | Day Monday | Duration 90
REQUESTED: MB 205 - Microbiology | Section 2D | Room 166 | Emp 4 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MB 205 - Microbiology | Section 2D | Room 166 | Emp 4 | Day Monday | Duration 60
REQUESTED: AR 206 - Art Studio | Section 2E | Room 167 | Emp 5 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: AR 206 - Art Studio | Section 2E | Room 168 | Emp 5 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: AR 206 - Art Studio | Section 2E | Room 168 | Emp 5 | Day Monday | Duration 60
REQUESTED: LI 207 - Literature | Section 2E | Room 169 | Emp 6 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: LI 207 - Literature | Section 2E | Room 169 | Emp 6 | Day Monday | Duration 90
REQUESTED: MU 208 - Music | Section 2E | Room 171 | Emp 7 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: MU 208 - Music | Section 2E | Room 171 | Emp 7 | Day Monday | Duration 60
REQUESTED: MU 208 - Music | Section 2E | Room 172 | Emp 7 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: MU 208 - Music | Section 2E | Room 172 | Emp 7 | Day Monday | Duration 90
REQUESTED: HI 209 - History | Section 2E | Room 173 | Emp 8 | Day ['Monday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: DR 210 - Drama | Section 2E | Room 174 | Emp 9 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: DR 210 - Drama | Section 2E | Room 174 | Emp 9 | Day Monday | Duration 90
REQUESTED: DR 210 - Drama | Section 2E | Room 175 | Emp 9 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: DR 210 - Drama | Section 2E | Room 175 | Emp 9 | Day Monday | Duration 60
REQUESTED: PH 211 - Philosophy | Section 2E | Room 176 | Emp 10 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: PH 211 - Philosophy | Section 2E | Room 176 | Emp 10 | Day Monday | Duration 60
REQUESTED: PH 212 - Photography | Section 2E | Room 177 | Emp 11 | Day ['Monday'] | Duration 1:30
  -> SCHEDULED: PH 212 - Photography | Section 2E | Room 177 | Emp 11 | Day Monday | Duration 90
REQUESTED: PH 212 - Photography | Section 2E | Room 178 | Emp 11 | Day ['Monday'] | Duration 1:00
  -> SCHEDULED: PH 212 - Photography | Section 2E | Room 178 | Emp 11 | Day Monday | Duration 60
REQUESTED: SO 213 - Sociology | Section 2E | Room 179 | Emp 12 | Day ['Monday'] | Duration 2:00
  -> SCHEDULED: SO 213 - Sociology | Section 2E | Room 179 | Emp 12 | Day Monday | Duration 120
REQUESTED: IT 402 - Advanced Programming | Section 3A | Room 115 | Emp 13 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:30
  -> UNSCHEDULED
REQUESTED: IT 402 - Advanced Programming | Section 3A | Room 180 | Emp 13 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: DS 401 - Data Structures | Section 3A | Room 116 | Emp 14 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:00
  -> SCHEDULED: DS 401 - Data Structures | Section 3A | Room 116 | Emp 14 | Day Monday | Duration 120
REQUESTED: DS 401 - Data Structures | Section 3A | Room 181 | Emp 14 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: AL 400 - Algorithms | Section 3A | Room 117 | Emp 1 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: AL 400 - Algorithms | Section 3A | Room 182 | Emp 1 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: CA 403 - Computer Architecture | Section 3A | Room 300 | Emp 2 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:00
  -> UNSCHEDULED
REQUESTED: OS 404 - Operating Systems | Section 3A | Room 118 | Emp 3 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: OS 404 - Operating Systems | Section 3A | Room 199 | Emp 3 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: CN 405 - Computer Networks | Section 3A | Room 77 | Emp 4 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:30
  -> UNSCHEDULED
REQUESTED: CN 405 - Computer Networks | Section 3A | Room 200 | Emp 4 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 1:00
  -> UNSCHEDULED
REQUESTED: DM 406 - Discrete Mathematics | Section 3A | Room 201 | Emp 5 | Day ['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'] | Duration 2:00
  -> UNSCHEDULED
